 (Half Day),
 and year: ,
""" does not exists",""""""" nem létezik"""
%  Delivered,%  kiszállítva
% Amount Billed,% mennyiség számlázva
% Billed,% számlázva
% Completed,% kész
% Delivered,% kiszállítva
% Installed,% telepítve
% Milestones Achieved,
% Milestones Completed,% mérföldkő elvégezve
% Received,% fogadva
% Tasks Completed,% feladat elvégezve
% of materials billed against this Purchase Order.,
% of materials billed against this Sales Order,
% of materials delivered against this Delivery Note,
% of materials delivered against this Sales Order,
% of materials ordered against this Material Request,
% of materials received against this Purchase Order,
'Actual Start Date' can not be greater than 'Actual End Date',
'Based On' and 'Group By' can not be same,
'Days Since Last Order' must be greater than or equal to zero,
'Entries' cannot be empty,
'Expected Start Date' can not be greater than 'Expected End Date',
'From Date' is required,
'From Date' must be after 'To Date',
'Has Serial No' can not be 'Yes' for non-stock item,
'Notification Email Addresses' not specified for recurring %s,
'Profit and Loss' type account {0} not allowed in Opening Entry,
'To Case No.' cannot be less than 'From Case No.',
'To Date' is required,
'Update Stock' for Sales Invoice {0} must be set,
* Will be calculated in the transaction.,
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.

To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**",
**Currency** Master,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",
1. To maintain the customer wise item code and to make them searchable based on their code use this option,
90-Above,
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","""<a href=""""#Sales Browser/Customer Group"""">Új / Szerkesztés</a>"""
"<a href=""#Sales Browser/Item Group"">Add / Edit</a>","""<a href=""""""""#Sales Browser/Item Group"""""""">Új / Szerkesztés</a>"""
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","""<a href=""""""""#Sales Browser/Territory"""""""">Új / Szerkesztés</a>"""
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",
